,VALLEY VIEW UNIVERSITY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,DEPARTMENT OF COMPUTING SCIENCES AND ENGINEERING (CS IT BIS) AND MATHEMATICAL SCIENCES,,,,,
1,FIRST SEMESTER - 2023 / 2024 ACADEMIC YEAR,,,,,
2,FINAL TIMETABLE,,,,,
3,LECTURER,COURSE CODE & TITLE,CREDIT HRS,CLASSROOM,DAYS,TIMINGS
4,J. Abandoh-Sam,INFT 346 Software Development Life Cycle,3,CS1,T,10:00am - 12:30pm
5,J. Abandoh-Sam,COSC 447 Software Engineering,3,CS1,T,10:00am - 12:30pm
6,J. Abandoh-Sam,INFT 439 Cloud Computing Systems,3,CS1,T,2:00pm - 4:30pm
7,J. Abandoh-Sam,COSC 429 Cloud Computing Systems,3,CS1,T,2:00pm - 4:30pm
8,,,,,,
9,Prof. W. Oblitey,COSC 352 Computer Security,3,Business Lab,M,2:00pm - 4:30pm
10,Prof. W. Oblitey,INFT 452 Enterprise Information Security,3,Business Lab,M,2:00pm - 4:30pm
11,Prof. W. Oblitey,COSC 115 Introduction to Computer Science I,NC,CS Lab,T,10:00am - 12:30pm
12,Prof. W. Oblitey,CSCD 115 Introduction to Computer Science I,NC,CS Lab,T,10:00am - 12:30pm
13,Prof. W. Oblitey,MATH 171 Introductory Mathematics for Computer Science,3,CS1,M,10:00am - 12:30pm
14,,,,,,
15,M. Asare Tetteh,"INFT 425 Mobile Application Development [IT, BEIT]",3,CS1,T,7:00am - 9:30am
16,M. Asare Tetteh,"COSC 328 Mobile Application Development [CS, BIS]",3,CS1,M,7:00am - 9:30am
17,M. Asare Tetteh,INFT 410 Internet-Based Application Systems Development,3,CS1,W,10:00am - 12:30pm
18,M. Asare Tetteh,COSC 360 Internet-based Application Systems,3,CS1,W,10:00am - 12:30pm
19,M. Asare Tetteh,BBIS 310 Internet-based Application Systems,3,CS1,W,10:00am - 12:30pm
20,M. Asare Tetteh,COSC 470 Computer & Cyber Forensics,3,CS1,W,7:00am - 9:30am
21,M. Asare Tetteh,INFT 470 Computer & Cyber Forensics,3,CS1,W,7:00am - 9:30am
22,,,,,,
23,J. Kingsley Arthur,COSC 455 introduction to Artificial Intelligence and Machine Learning [CS],3,CS1,W,2:00pm - 4:30pm
24,J. Kingsley Arthur,"COSC 455 introduction to Artificial Intelligence and Machine Learning [IT, BEIT]",3,CS1,W,2:00pm - 4:30pm
25,J. Kingsley Arthur,BBIS 351 Expert Systems and Artificial Intelligence,3,CS1,W,2:00pm - 4:30pm
26,,,,,,
27,W. Ronky Amber-Doh,COSC 280 Information Systems,3,CS1,F,10:00am - 12:30pm
28,W. Ronky Amber-Doh,BBIS 110 Introduction to Business Information Systems,3,CS1,F,10:00am - 12:30pm
29,W. Ronky Amber-Doh,INFT 350 Managing Information Technology Projects,3,CS1,TH,10:00am - 12:30pm
30,W. Ronky Amber-Doh,INFT 142 Critical Thinking and Practical Reasoning,3,CS1,M,2:00pm - 4:30pm
31,,,,,,
32,Prof. D. Damoah,INFT 245 Entrepreneurship and Human Development,3,CS2,TH,10:00am - 12:30pm
33,Prof. D. Damoah,COSC 245 Entrepreneurship and Human Development,3,CS2,TH,10:00am - 12:30pm
